source_id,source_label,type,target_id,target_label,quantity,stars
CU01,Customer,PLACED,O1001,Order,,
CU02,Customer,PLACED,O1002,Order,,
CU03,Customer,PLACED,O1003,Order,,
CU01,Customer,PLACED,O1004,Order,,
O1001,Order,CONTAINS,P01,Product,1,
O1002,Order,CONTAINS,P03,Product,1,
O1003,Order,CONTAINS,P04,Product,1,
O1004,Order,CONTAINS,P02,Product,1,
P01,Product,BELONGS_TO,CAT1,Category,,
P02,Product,BELONGS_TO,CAT2,Category,,
P03,Product,BELONGS_TO,CAT2,Category,,
P04,Product,BELONGS_TO,CAT1,Category,,
P05,Product,BELONGS_TO,CAT3,Category,,
P01,Product,SOLD_BY,SE1,Seller,,
P02,Product,SOLD_BY,SE2,Seller,,
P03,Product,SOLD_BY,SE2,Seller,,
P04,Product,SOLD_BY,SE1,Seller,,
P05,Product,SOLD_BY,SE3,Seller,,
CU01,Customer,RATED,P01,Product,,5
CU02,Customer,RATED,P03,Product,,4
CU03,Customer,RATED,P04,Product,,4
CU04,Customer,RATED,P05,Product,,3
