source_id,source_label,type,target_id,target_label,issue_date
MB01,Member,BORROWED,BK01,Book,2026-01-08
MB01,Member,BORROWED,BK04,Book,2026-01-20
MB02,Member,BORROWED,BK02,Book,2026-02-02
MB03,Member,BORROWED,BK03,Book,2026-02-10
MB04,Member,BORROWED,BK01,Book,2026-02-14
MB02,Member,RESERVED,BK04,Book,
MB04,Member,RESERVED,BK03,Book,
AU01,Author,WROTE,BK01,Book,
AU02,Author,WROTE,BK02,Book,
AU03,Author,WROTE,BK03,Book,
AU04,Author,WROTE,BK04,Book,
BK01,Book,PUBLISHED_BY,PB01,Publisher,
BK02,Book,PUBLISHED_BY,PB02,Publisher,
BK03,Book,PUBLISHED_BY,PB02,Publisher,
BK04,Book,PUBLISHED_BY,PB03,Publisher,
BK01,Book,IN_GENRE,GN01,Genre,
BK02,Book,IN_GENRE,GN02,Genre,
BK03,Book,IN_GENRE,GN03,Genre,
BK04,Book,IN_GENRE,GN01,Genre,
