source_id,source_label,type,target_id,target_label,rating,role
U01,User,RATED,M01,Movie,5,
U01,User,RATED,M03,Movie,4,
U02,User,RATED,M01,Movie,4,
U02,User,RATED,M02,Movie,3,
U03,User,RATED,M04,Movie,5,
U04,User,RATED,M03,Movie,2,
A01,Actor,ACTED_IN,M01,Movie,,Lead
A01,Actor,ACTED_IN,M03,Movie,,Lead
A02,Actor,ACTED_IN,M02,Movie,,Lead
A02,Actor,ACTED_IN,M04,Movie,,Support
A03,Actor,ACTED_IN,M03,Movie,,Support
D01,Director,DIRECTED,M01,Movie,,
D01,Director,DIRECTED,M04,Movie,,
D02,Director,DIRECTED,M02,Movie,,
D02,Director,DIRECTED,M03,Movie,,
M01,Movie,IN_GENRE,G01,Genre,,
M02,Movie,IN_GENRE,G02,Genre,,
M03,Movie,IN_GENRE,G03,Genre,,
M04,Movie,IN_GENRE,G02,Genre,,
U01,User,FOLLOWS,U02,User,,
U03,User,FOLLOWS,U01,User,,
U04,User,FOLLOWS,U02,User,,
