source_id,source_label,type,target_id,target_label,grade,role
S001,Student,ENROLLED_IN,C101,Course,A,
S001,Student,ENROLLED_IN,C103,Course,B,
S002,Student,ENROLLED_IN,C101,Course,B,
S002,Student,ENROLLED_IN,C102,Course,A,
S003,Student,ENROLLED_IN,C102,Course,A,
S003,Student,ENROLLED_IN,C103,Course,B,
S004,Student,ENROLLED_IN,C103,Course,C,
S005,Student,ENROLLED_IN,C101,Course,A,
F001,Faculty,TEACHES,C101,Course,,
F002,Faculty,TEACHES,C102,Course,,
F003,Faculty,TEACHES,C103,Course,,
S001,Student,BELONGS_TO,D01,Department,,
S002,Student,BELONGS_TO,D01,Department,,
S003,Student,BELONGS_TO,D02,Department,,
S004,Student,BELONGS_TO,D02,Department,,
S005,Student,BELONGS_TO,D01,Department,,
F001,Faculty,BELONGS_TO,D01,Department,,
F002,Faculty,BELONGS_TO,D02,Department,,
F003,Faculty,BELONGS_TO,D01,Department,,
C101,Course,BELONGS_TO,D01,Department,,
C102,Course,BELONGS_TO,D02,Department,,
C103,Course,BELONGS_TO,D01,Department,,
S001,Student,WORKS_ON,P001,Project,,Developer
S002,Student,WORKS_ON,P001,Project,,Tester
S003,Student,WORKS_ON,P002,Project,,Developer
S004,Student,WORKS_ON,P002,Project,,Designer
S005,Student,WORKS_ON,P003,Project,,Developer
F002,Faculty,GUIDED_BY,P001,Project,,
F003,Faculty,GUIDED_BY,P002,Project,,
F001,Faculty,GUIDED_BY,P003,Project,,
